post number,caption,url,,number of hashtags,types of patterns,likes,taxonomy
1,"Uncomfortable in front of the camera? ✔
Kids screaming in the background? ✔
Babies interrupting my photo ✔✔
All for the fun of #mmmay 😬
This is a dress a hacked from a thrift find to try and look like a dress from Little Women.
The shirt I believe is a hinterland dress hack from a men's button up. 
The shirt is maybe 2"" too short to stay comfortably under the dress and keeps peeking out the sides, oh well 🤷‍♀️. I am also a little less chesty than I was when I made it and think maybe it sits a bit low now? Idk. 
I do however love the stripes and pink together and am reminded of how comfortable this dress is. 
People always mock grandmas for wearing muumuus but they know the secret of comfort and aren't all these flowy wide dresses just the young woman's muumuu?? Just food for thought. 
I should add the last photo is day 3 in my #pepperminloungeshirt 💙😬

.
.
.
.

#hinterlanddresshack #littlewomendress #memade #memademay #upcycled #upcycledclothing #remade #reclaimed #muumuu #makersgonnamake #memademay2021 #mmmay2021 #justwearthedress",instagram.com/p/COc4CK5hDIB,,15,2,25,"1 - no mods
2 - shortened
3 - change neckline
4 - modded to a top/shirt/crop
5 - size change
6 - lengthened
7 - sleeve change
8 - modded to skirt
9 - no buttons"
2,"Me may made day 3. Wearing a super hacked hinterland dress. I turned this one into a vneck, and left it open so it can be worn wrapped like this, or open like a vest. I’m pretty sure the fabric is thrifted. I had it forever before finally sewing it in to something. #memademay #memademay2021 #hinterlanddress #hinterlanddresshack #winnipegsews #thriftfirst",instagram.com/p/CObRS9pAhIe,,6,3,48,
3,"happy #memademay day 3!!
today I had fun re-discovering some pieces from my #memade wardrobe! I never realized how much I like them, until now! I guess that's the beauty of #memademay :)
°
details: today I'm wearing my #hinterlanddress hacked into a shirt, and I added a peplum using the #peppermintpeplumtop (because it was too short without it!🙈) for pants, I'm wearing my #visiblymended jeans that I got as hand me downs a couple of years ago! and surprise surprise, the handmade cardigan from my Auntie😊
°
I'm curious - what are your favorite go-to garments?",instagram.com/p/CObRR4CMQLc,,6,4,57,
4,"It’s #memademay2021 and I’m ready to start wearing those handmade items I haven’t been wearing.
I’m starting with this #hinterlanddresstop that I made years ago. I believe I haven’t worn it because it’s such a cropped top and I’ve never thought about how I could layer it.
So, I tried a few variations with this green secondhand dress I love to bits and a thrifted belt.
I love the first outfit the most, but it also looks lovely with the green dress on top and it’s okay without the belt too, but I’m definitely loving the belt!
What do you think?
Have you hacked the hinterland to just make a top?
Let me know how you style it.

🌿 Amy
.

.

.

#memademay #handmadewardrobe #handmadeootd #hinterlanddresshack",instagram.com/p/COThk1-J-42,,6,4,136,
5,"Tag Quilting T-Shirt Who Would Like This!
Well I can say I have never had this done to me before..... oh my big girl Cinderella.
So times you just need to sit and take in the view.😍🐴
•
Have you checked out our bio?
@miltonhamms 
#quilt #quilting #quiltingfun #quiltingfabric #quiltinglove #quiltingcotton #quilttop #quiltingismytherapy #quiltingclass #quiltingfun",instagram.com/p/COSMydlHvVj,,19,1,42,
6,I think I may have just made my favourite dress so far 💕This is my 2nd #hinterlanddress. I went down a dress size and used a smaller seam allowance. It first perfectly. I was resourceful with my 2 metres of fabric and added a short ruffle at the bottom of the dress. I also used scrap fabric for the bias binding neckline. I am so happy with it. This beautiful cotton poplin #hubbleandrosefabric is from @alwaysknittingandsewing and the cute contrast buttons are from @thestudioatnumber30  #beginnersewer #dressmaker #studioatnumber30makes #sewliberatedpatterns #hinterlanddresshack #dresseswithruffles #dresseswithpockets #sewnearly50 #ditsyfloral #ditsyfloraldress #blackandpinkfloral #dressmakingmonday,instagram.com/p/COIQrnjp8tz,,14,5,78,
7,Coming down the home stretch making my Hinterland dress! It is a little big but so comfortable! Next time I will make it smaller and put in deeper pockets! Thanks again @thelilacelk @pintuckandpurl #hinterlanddresshack,instagram.com/p/COHLJ-RH3xo,,1,1,10,
8,Found a little lace and mother of pearl buttons to accent my Hinterland dress! Hope to finish the dress tonight. Thanks Sarah and Maggie! Great Zoom classwith Sarah @pintuckandpurl @thelilacelk #hinterlanddresshack,instagram.com/p/COG0eETnpMB,,1,1,8,
9,The weather is finally right for my @helens__closet Winslow Culottes. I went for the full length version in a viscose crepe for a nice swishy faux-skirt look. I’m not great at sewing viscose but they came out lovely and drapey anyways though my French seam pockets are a bit too chunky for the fabric. Paired here with my Hinterland dress hack crop top for a full me-made outfit.,instagram.com/p/COEBiH4pKDd,,17,4,18,
10,"Whipped up a quick #hinterlanddress hack as a crop top. Removed the placket, added cuffs, and lengthened the bodice pieces slightly for hemming. And I got to use up scraps too. And just in time for our first 60+ degree day. 
Pattern by @sewliberated 
Fabric is Nevada linen from @stonemountainfabric",instagram.com/p/CN4-1BqJTbe,,15,"3, 4, 5, 7, 9",27,
11,"Finally! Episode 2 of the Lumi Knits podcast is up on YouTube. It's been a long time coming, I hope you enjoy it. The link is in my profile.
#lumiknits #lumiknitspodcast #knit #knittersofinstagram #imakemyclothes #maker #handmade #handmadewardrobe #sew #sewistsofinstagram #otisoveralls #hinterlanddresshack",instagram.com/p/CNkFwvYpPb4,,12,1,17,
12,"My first finished me made in my new space! My mom got me this beautiful @riflepaperco cotton for Christmas and I wanted something easy to wear that would work well with a no-stretch woven. Super inspired by the @tradlands Nico dress, I hacked my @sewliberated #hinterlanddress pattern by sizing up 4 sizes, removing the center placket and bust darts, and bringing up the neckline. First time making a muslin draft for the bodice and it was well worth the drafts to get the boxy-but-not-baggy look I was going for. Already working on 2 more of these 😂 #riflepapercofabric #memade #hinterlanddresshack",instagram.com/p/CNfkcisMTDQ,,4,"3, 5",33,
13,"I like how this jacket turned out. I kept the design pretty simple and sort of winged my way through it just following a mental image. Paired here with my Hinterland dress. I'll be reaching for this weightless cloud in a brushed Alpaca/wool blend often this season.
#knittersofinstagram #knittedsweater #sweaterknitter #knittingmakesmecalm #handknitted #hinterlanddresshack #hinterlanddress",instagram.com/p/CNRTnECnppl,,7,1,23,
14,"Very diverse, very creative, very different from yesterday's outfit. Everything the same except I changed the top to my #HinterlandDressHack crop top. It's been in the donate pile for a bit but I'm a bit sentimental about it so it's back in my closet now. If it gets enough wear I will keep it.",instagram.com/p/CM1GT9jMD9-,,1,4,60,
15,"Another 🍄 Mushroom Dress 🍄 completed! All fly agaric mushrooms. This is a #hinterlanddress I modded to be ankle length so I could use up the fabric I had. I’m not usually the person who goes for yellow, but I fell in love with the print and I will get a lot of wear out of this, I think. In other news, I got my hair dyed violet yesterday! I’m entering a new chapter in my life: new job in a completely different area of expertise, so a new do as well. #hinterlanddresshack #mushroomdress #cottagecore #morikei #memadewardrobe #memade #handmade #sewing #sewcialist",instagram.com/p/CMsBJDIJeUU,,10,6,37,
16,"Meet the newest member of my #hinterlanddress family 💖 I shall call her “Claire”.... I may or may not have a problem 😂 Decided to go simple with this one and cut the front bodice on the fold. I’m loving this fabric from the #agfkismet collection by @artgalleryfabrics ✂️ Hope everyone has a lovely Saturday!

Fabric from @hawthornesupplyco ✂️

#sewing #sewliberated #hinterlanddresshack #memade #handmadewardrobe #sewover40 #dressoverjeans #artgalleryfabrics #quiltingcotton",instagram.com/p/CMpOI9-sEBp,,11,3,285,
17,#wearhappycolor2021 This week is green! I love green and wear a lot of olive as a neutral but also hunter and emerald green. In particular I love to pair green with mustard yellow because I'm obsessed with yellow (as you can tell from last week's post). #sewhappycolor2021 #complementarycolors #metamorphicdress #hinterlanddresshack #ikatfabric #sandalwoodfabrics #linen #isewbhm,instagram.com/p/CMcjIS9FD26,,10,1,163,
18,"A nod to my Dutch heritage 🇳🇱

I’ve had this fabric in my stash for many many many years. Blue is not my colour but the windmills got me. I went to Holland to meet my family and see the kasteel where my Oma skated as a girl and where she grew up and it felt so much like home. And everyone had my nose! I hope to get a chance to go back one day. 

Also got big compliments today on it’s first wear and got asked if I always where my own clothes (coz they’re so unique haha) and if I wanted to teach. Random. 

I decided to try the v-neck #hinterlanddresshack from the @sewliberated blog. I didn’t do the dancing though, instead just did the bias tape as per the original and hand stitched it down. Also didn’t make the placket angled but kept it square coz I wanted to, and I hand stitched that on wrong sides together (rather that sew right sides together then turn out) coz it ended up neater. I moved to the bust darts to the waist, and for some reason even having sewed them 3 times they still stayed pointy 🤷🏻‍♀️ kept the patterns original waist ties but tied them at the front. Super comfy, great buttons and cute kiddies approved ☺️

Pattern: hacked #hinterlanddress bodice by @sewliberated. Hacked #seamworkcatarina skirt by @seamwork to get a bit more fullness than the hinterland skirt. And my favourite pockets from the #springejumpsuit by @sewlovepatterns. 

Fabric: cotton from @spotlightstores from like maybe 7 years ago 🤭? 

Buttons: sand blasted buttons from @minervasbower - they have the most amazing range of buttons!!!!!

#youcanhackit #ithaspockets #australiasews #newcastlehuntersews #dutchheritage #lovemyoma",instagram.com/p/CMRpVvhF1Cc,,10,3,28,
