post number,caption,url,,number of hashtags,likes,types of patterns,taxonomy
1,"I can´t resist a comfy over-shirt and the #olyashirt arrived as a surprisingly easy to wear piece in my wardrobe. I wore a short sleeve tshirt to fight the hottest hours of the day. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
This cotton canvas was kindly gifted by minerva and I've been very surprised by the quality. ⠀⠀⠀⠀⠀⠀⠀⠀⠀
⠀⠀⠀⠀⠀⠀⠀⠀⠀
pattern #olyashirt by #papertheorypatterns⠀⠀⠀⠀⠀⠀⠀⠀⠀
#minervamakers @minervadotcom #sewersofinstagram #imakemyownclothes #sewingblogger #minervamakes #fabriclover #minervabrandambassador #memademay #memademay2021 #Slowfashion #sewist #handmadewardrobe #lovesewing #iwearwhatisew #sewingpattern",instagram.com/p/COvD23FDHRm,,18,90,1,"1 - no mods
2 - sleeves changed
3 - size change
4 - lengthened
5 - turned to dress
6 - neckline change
7 - change to jumpsuit"
2,"MMM day 11: happy Tuesday people! Today I’m wearing my @tessutifabrics #sadieslipdress with my beloved @paper_theory #olyashirt. Ive got a post up on @minervadotcom  with more pics/info about this dress. I have fabric slated for another Sadie, and I’ve got a construction question for all of you out there. One side of the front facing always flips out despite the understitching. Is there a magic method to alleviate this?? Im wondering if it has something to do with how it’s cut on the bias, or the facing piece that is interfaced vs the body of the dress that isn’t?? I’m all ears my friends! 💓
:
#memademay2021
#mmmay2021 
#memadewardrobe
#minervamakers
#minervabrandambassador",instagram.com/p/COu8_DWsdkq,,7,63,1,
3,"Yet another way to wear my new #olyashirt . Also, new glasses! 
.
Rest of the outfit is rtw. 
Pattern by @paper_theory (goes up to 45"" bust)
Fabric is #bfsandwashedcotton from @blackbirdfabrics but there are also other retailers (see earlier post).
Vintage buttons off Etsy.
.
After wearing the shirt several days in the row, I can honestly say I'd like to make a couple more!
.
I think I have at least one more outfit tomorrow to put into my mini styling challenge. Then I promise I will wear other clothes 🤣🤣
.
#mmmayfat #memademay #memademay2021 #mmmay2021 #millenialsewing #michigansews #annarborsews #memadeootd",instagram.com/p/COu21JeM4T5,,10,55,1,
4,"Me Made May Day 11
I really have made friends with the Olya Shirt that nearly broke my emerging shirt making spirit. It’s such a fabulous pattern!
I think there should be a fan group called “I survived making the Olya” ... because once navigated, the engineering of the sleeves is magical! 🌟 
I avoided using interfacing in the collar and cuffs as I’d always got into a bit of a tangle with them. That’s why I’m holding the floppy collar 🤦🏼‍♀️
Now that I’ve seen @grainlinestudio with @jen_beeman Archer Shirt tutorial, all my collars and cuffs will be interfaced with confidence! 

Pattern: Olya Shirt by @paper_theory 

#sewover50 #memademay2021 #memademay #olyashirt",instagram.com/p/COuf0UsMpPe,,4,618,1,
5,"Is there anything better than navy and ochre together? Beloved #olyashirt @paper_theory worn with #florencepants #esmadebyme
.
.
#instasew #instasewing #sewistsofinstagram #sewersofinstagram #sewersgonnasew #isew #jeportecequejecouds #jecoudsdoncjesuis #naaien #handmadewardrobe #imakemyownclothes",instagram.com/p/COuMco1MKV9,,14,355,1,
6,"#memademay2021 day 10 with my @paper_theory #olyashirt

As others have said, this shirt is challenging, but SO worth it. For the tall sewists out there, I found I needed about 2 inches added to the sleeves. 

Fabric is some washed linen I was coveting from @cuttersandcloth for a long time! 

#memade #indiesewingpattern #memade2021 #millenialsewing #millenialsewist #handmadewardrobe #imakemyclothes #memadeeveryday #sustainablefashion #sewistsofinstagram #sewingtall #MMM2021",instagram.com/p/COt2nEMM4hW,,14,34,2,
7,"10: I’m trying this year to feel less beholden to this space for Me Made May, and instead just live it! So, though I missed a couple of days, I did in fact still wear and love my me-mades. Here’s today! Wearing Freerange Slacks, an Olya Shirt, a Strathcona Sweater, and a Skiff Hat.

————————————
#MeMadeMay #MeMadeMay2021 #HandmadeWardrobe #MeMadeEveryday #SlowFashion #SewingTall #mmm2021 #FreerangeSlacks #OlyaShirt #StrathconaSweater #SkiffHat",instagram.com/p/COtfVtWM_Tf,,11,67,1,
8,"That’s a wrap on Week One of #memademay2021 !

I was a little worried I’d have a hard time putting outfits together, but it turns out that I only wear, like, four colours. Swipe ➡️ for this week’s outfits, all including the silly little blue light glasses I wear for work. 

1. Hacked #allwellboxtop in double gauze and #pietrapants in a mid weight linen. I don’t love the back of these pants, but hoping to solve some fit issues in a future pair of shorts!
2. #lbpullover in a cozy mid weight knit and my favourite pair of #ninniculottes in tencel. 
3. I love these #gretadungarees but the straps are slightly too short, so I’ve added them to the alterations pile. Top is RTW, but I hemmed it so I’m still counting it!
4. A linen (and heckin’ wrinkly) #olyashirt, plus my #esmadebyme #clydeworkpants . 
5. Self-drafted tiered linen dress conveniently layered over another #allwellboxtop — this shirt was my first try with directional prints, and I may have cut the front out upside-down...twice.",instagram.com/p/COtGvS1HIp8,,10,64,1,
9,"#memademay / #mmmayfat day 10 and anther #olyashirt mini styling challenge.
.
Not sure if I can actually pull off this tie front thing-- trying it out.
.
#olyashirt by @paper_theory goes up to 45"" bust
#peppermintwidelegpants (#freepattern) by @inthefolds @peppermintmagazine, up to 54.5"" hip.
Both fabrics from @blackbirdfabrics 
.
#bfbulldenim #bfsandwashedcotton #blackbirdfabrics #indiepatterns #inthefolds #papertheorypatterns #peppermintmagazine #millenialsewing #michigansews #annarborsews #mmmay2021 #memademay2021 #memadeootd",instagram.com/p/COsdjqGMIq0,,20,46,3,
10,"#MeMadeMay2021 day 10
Another Olya shirt day for getting muddy repotting chilli plants!
#olyashirt #ymsewsmmmay21 #ymsewsmmmay #sewcialists #sewersofinstagram #handmadewardrobe #memademay #ymsewsveg",instagram.com/p/COsbO21sbhR,,9,107,1,
