post number,caption,url,,number of hashtags,types of patterns,likes,taxonomy
1,"Another progress shot… the jacket construction is actually much faster than I’d imagined. Especially since I don’t need to worry about lining, hems and facings. It’s looking cosy, isn’t it?

🧥 

Improvising a lot as the original pattern calls for flat felled seams. I managed shoulder seams ok but all the other seams are bound. With matching voile internally. And I decided to cheat and go with a lovely soft pre-made bias binding from @fabric.journey for the collar, pockets, sleeve hems and other edges. I think the grey ombré check ties it all together.

🧵 🪡 

Lots of hand binding today and then I need to decide if I want buttons or press studs! Wish me luck 🤞

🏷 With many thanks to @dianavandeyar who shared her tips and tricks using the #paolajacket pattern to make a quilt coat. Go check out her feed for her incredible make 😘

🏷 Fabric: Hope Valley and Greenfield Hills (voile lining) by @dsquilts. Assorted low volume prints 

🏷 Quilt pattern: Jacob’s Ladder blocks made by the #muststashbee gals many moons ago. Look back in my feed to see how I quilted it on my Q16.

#quilt
#cutitup
#quiltcoat
#patchwork
#sewover50
#slowfashion
#quiltsarecool
#memademay
#quiltedjacket
#denyseschmidt
#jacobsladderquilt
#memadeeveryday
#patchworkclothing
#isewmyownclothes
#whenquiltersmakeclothes",instagram.com/p/COtYyhtHopU,,15,3,1832,"1 - no mods
2 - less pockets
3 - buttonless
4 - cropped 
5 - oversized"
2,"Day 10 of Me Made May 2021 💗

I'm wearing a really old @tillybuttons Coco dress and my pink corduroy Paola jacket when out. Both fabrics are from @abakhanfabrics 😊. I've realised I own quite a few pink and purple clothes!

#sewingcoco #paolaworkwearjacket #paolajacket #tillyandthebuttons #cocodress #memademay #memademay2021 #memadeeveryday #isewmyownclothes #handmadewardrobe #millenialsewing #sewistsofinstagram",instagram.com/p/COs20lcMJ8w,,12,1,59,
3,"🇬🇧Day 7 #memademay2021 #memademay #mmm2021 it's Friday and it's hot!! 🎉🎉So glad to finish this week. Wearing my brand new #paolajacket #thefabricstore #tfspaola paired with two oldies: one #grainlinearcher @grainlinestudio and one of my beloved #thecalyerpants #frenchnavynow @frenchnavynow_ to be honest the jacket doesn't work well with the shirt but I wanted to wear it so badly (I finished it yesterday, anyone rely?) and it was so hot I had to mostly carry it around...
🇨🇵 En ce jour 7 du me made month je suis bien contente d'arriver eau week-end. Je porte ma nouvelle veste cousue dans 1m20 de tissu!!!veste Paola patron gratuit de fabric store. Elle ne va pas très bien avec ma chemise (une vieille vieille archer) mais comme j'ai terminé ma veste hier j'avais trop envie de la porter quand même ! De toutes façons il faisait tellement chaud aujourd'hui que je n'ai presque pas mis ma veste ! Je porte le tout avec un de mes pantalons adorés the calyer pants de French navy (une pépite). La classe de ma fille est fermée pour un cas de covid. C'est d'une galère....
Je vous souhaite un bon week-end à tous !! Profitez du beau temps !",instagram.com/p/COk3_wALAk1,,6,1,85,
4,"day 6 of #memademay2021 with my frankenjacket of the #paolaworkwearjacket 🤖

📏 Mods: Cut a size S, shortened overall length by a few inches. Added no buttons nor outside pockets. Decided to line the jacket with my original toile even tho it doesn't match at all to have hidden inner pockets 😬

✂️ Fabric: Some sort of wool? for the outside, and cotton lining both from @scrapsf 

#mmm2021 #memademay #paolajacket #milennialsewing #memade #fabricsstorecom #fabricsstore",instagram.com/p/COj1CLOs4cY,,8,4,55,
5,These colors.  Together. 🥰,instagram.com/p/COdTEqyjKn7,,2,1,28,
6,"Day 2 of Me Made May 💗
My @ninaleelondon Camden skirt is getting its first wear - love it! The pink corduroy is from @felicity.fabrics. It was an extremely satisfying make and no doubt I'll make another one soon. Maybe a black one for work?

I've also got on my @fabricsstorecom Paola workwear jacket that I made last summer (I've got some highlights of the making process on here). The denim fabric is from @minervadotcom. It's quite a lightweight jacket and it's perfect to wear when it's a bit warmer

#ninaleepatterns #camdenskirt #camdenpinafore #ninaleelondon #felicityfabrics #paolaworkwearjacket #paolajacket #fabricsstorecom #minervamakers #memademay #memademay2021 #millenialsewing #memadeeveryday #handmadewardrobe #imakemyownclothes #sewingisfun",instagram.com/p/COXXIaqsQoQ,,16,2,92,
7,Finished this #paolajacket from @fabricsstorecom a Free Pattern! I added a quilted cotton/acrylic lining to make it warmer for winter and the linen was also a tad itchy on its own. Lining fabric from @spotlightstores and main fabric is a pink Plaid Twill Linen from @wearethefabricstore,instagram.com/p/COUKgkGDVCU,,1,2,17,
8,"Whew! Finally finished! (Except for snap closures😅) Love how it turned out!!! ✨🧡🪡

Mostly used the #paolajacket pattern but referenced the #tamarackjacket pattern for the welt pockets. Tag by @kylieandthemachine",instagram.com/p/CNx0xebDgN7,,2,2,8,
10,"Another Paola workwear jacket, this time with an extra pocket and pen pocket😎 

#paolajacket #paolaworkwearjacket @fabricsstorecom",instagram.com/p/CNnjlo0JnIC,,2,2,138,
11,Today I’m joining the #quiltcoatfashionshow with my (almost) finished quilt coat from a well worn vintage quilt I bought in an online auction. I still plan to add some loop button closures and a few more triangle transplants to the back for stability - the quilt was a bit more well worn than advertised when I bought it! But I so love the crinkly texture and buttery softness and the faded colors. I wonder about the hands that made the quilt and how long ago it was .... Happy to have given the quilt new life in this lovely coat. Thanks to @maeberrysquare and @tina1802 for all the great tips and encouragement during #quiltcoatalong It has been great to see all the creativity during this QAL. You ladies rock! #quiltcoat #vintagequiltrepurposed #paolajacket #repurposedclothing #quiltsintoclothes,instagram.com/p/CNdEVUIHG9F,,5,2,98,
13,"this Paola jacket has been one of my favorite pieces I've made so far 🤎

it was a real son of a bitch to actually sew, with the flat felled seams along the sleeves literally drawing blood and making my fingers feel raw, but ooooo baby it was worth it! 

I added an internal pocket based on original vintage workwear jackets I saw online, and (messily) bound the facing on the inside with cotton twill tape, which was a mistake but I'll live with it. 

anyway I've worn this so many times already and I can't wait to see how it naturally weathers over time! also planning on making my mom one in red denim 💯
--
Pattern: @fabricsstorecom #Paolajacket
Fabric: 10 oz bull denim in Ranch Tan from @fabricdotcom
Changes: slightly different pocket shape/size, added a rectangular internal pocket, bound facing along the inside",instagram.com/p/CNTN4w3rlsu,,1,2,100,
14,"#paolajacket in slight stretch pine corduroy that I’m pretty sure I got from @blackbirdfabrics 
Is it weird that I like sewing collars? And don’t get me started on facings 💕
@fabricsstorecom",instagram.com/p/CM7nQWyMvmw,,1,1,16,
15,Finished my quilted jacket just in time for it to start getting too hot to need a jacket. 😂 #QuiltedJacket #PaolaJacket #SlowFashion,instagram.com/p/CMrsgKRMYN7,,3,2,85,
17,"The cranky cat coat is almost complete 😻 I still need to add snaps or buttons and finish some hand sewing on the lining, but I was too excited to wait to wear it until it’s 100% done.  I’m really proud of this make as it feels very *me* 

Pattern: #PaolaWorkwearJacket from @FabricsStoreCom
Fabric: cranky cat Japanese Oxford from @stonemountainfabric and blue buffalo flannel from @moodfabrics 

#SewQueer #BayAreaSewists #MeMade #SewingWithCats #MillennialSewing #isewlation #PaolaJacket #ChoreCoat #ISewMyOwnClothes",instagram.com/p/CMbAw_BlXLM,,10,2,134,
18,All finished! Perfect for this cool spring morning. #PaolaJacket with some pocket modifications. #SlowFashion #HomeSewn,instagram.com/p/CMUtLmnsFf8,,3,2,69,
19,"Auditioning buttons for my #paolajacket out of home dec fabric (12 yards left and for sale 😉). I was stuck on shades of brown but I kinda like the green ones in the last pic. Any votes?

#vintagefabric #springjacket #imakemyownclothes #etsyseller #etsysellersofinstagram #minneapolisspring",instagram.com/p/CMTCcf3Fgfs,,6,1,13,
23,"So excited to share my newest sewing DIY thrift flip -> a coat made from quilted pillow shams found at the thrift store for $12!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
BACKGROUND: A bit ago I started to see quilted coats popping up in Instagram and YouTube. I love the idea of bringing a textile full of heritage, thoughtfulness and hand-crafting into everyday wear. Plus since I love floral prints and vintage style so much this project was right up my alley. A few weekends ago we stopped by Valley Thrift after hearing about it from fellow sewist @alissahthreads and I found a 4 pack of quilted pillow shams that I thought would be great for my coat experiment!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
SEWING DETAILS: I used the Paola Workwear Jacket from @fabricsstorecom and followed the pattern for the most part. I changed up the collar and decided to go without a facing & instead used a bias binding around the raw edges. I like how this turned out because the print added to the quilted vibe even more. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
Right now the jacket has no closures and I haven’t decided if I will add them or not. A part of me wants to get snaps but another part of me is lazy and I rarely button up my coats anyway so what’s the point? 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
VERDICT: I love the uniqueness of this jacket and knowing it truly is one of a kind. I picked up another quilt at the thrift store, I plan to create another Paola Jacket, this time sticking a little more closely to the true Chore Coat look for the collar and front closure. 
⠀⠀⠀⠀⠀⠀⠀⠀⠀
What do you think, would you wear a quilt coat?!
⠀⠀⠀⠀⠀⠀⠀⠀⠀
#fabricsstorecom #makersgonnamake #slowfashion #paolajacket #paolaworkwearjacket #handmade #quiltedcoat #quiltcoat #thriftflip #sewingblogger #makersofinstagram #makersgonnamake #sewdiy #sewcialists #thriftflip #thriftdiy #sewistsofinstagram #memade #memadeeveryday #instasew #sewingblogger  #millennialsewing #imadethis #memadewardrobe #vintagediy #thriftfind #thriftstorediy #diystyle #diysew #sewists",instagram.com/p/CMAD2bwlPT7,,30,2,154,
24,"The finished quilted vest! It’s a very modified #paolajacket made from a super soft wool remnant and leftover linen lining and bias binding! 
It was so quick to make and I loved hand sewing the binding for the first time. 
Now I just need to figure out how to make it fit in my wardrobe 🤔.
.
.
.
#sewing #sew #memade #handmade #sewistsofinstagram",instagram.com/p/CLrdbKkFrSG,,6,2,54,
25,"#paolaworkwearjacket (free @fabricsstorecom pattern) in the softest vintage corduroy. Neatest garment I have ever made thanks to flat-felled seams and bias binding on the facing 🏵🌸 First time making a collar, inserting sleeves, making buttonholes, grading a pattern, and using flat-felled seams. The collar cost me 10 years of my life 🥲 

(Pants are the #ninniculottes by @namedclothing in non-stretch cotton) 

#sewing #beginnersewing #freepattern #corduroy #memade #lockdownsewing #vintagefabric #workwear #workwearjacket #paolajacket",instagram.com/p/CLq7wXOB1Ez,,10,1,33,
26,"I've had 2 shirts, 1 jacket and a dress almost finished for weeks (months even?). Finally finished the jacket (Paolo from Fabric-Store.com) and dress (Montana Mididress from Style Arc). Fabrics from @mulberrysilks of course. #mulberrymade #montanamididress #paolajacket Only a gazillion buttonholes to finish the 2 shirts. What was I thinking???",instagram.com/p/CLPwclXHyKA,,2,1,8,
27,"Felt like spring today so took my second #paolaworkwearjacket for a walk!

Made some adjustments to this version by lengthening the body and arms by 3 inches.

Also added a little bit of embroidery to the pockets which you can kind of see in pic 3

Fabric is the same thrifted duvet cover that I used for my Morgan jeans toile, so now I’ve got a matching set 😆 

#sewingtall #paolajacket",instagram.com/p/CK-D-NnFMbL,,3,1,8,
28,"muslin of the #paolaworkwearjacket in some old drop cloth i dyed blue once i discovered i liked how it had turned out. after my toils with the #julienreadytosew, i found this pattern suited me better - no drop sleeves to tangle with, the collar goes in nicely, and the facings are smart on a jacket you might often wear unbuttoned. ⁣vintage buttons from @swansonsfabrics. 
⁣
i sewed a medium based on my bust measurement and after comparing the finished garment measurements to my favorite chore coats. ⁣
⁣
i think i’m ready to try this with my beloved pom pom coating, with a few mods: add 2 inches to body and arm length, steal the angled lower pockets from the julian coat, deepen the facings a bit. maybe some side vents? maybe make the center back seam a feature rather than a bug borne of my thoughtless cutting? also i think i’ll make a large - this fits well but i like a cozy oversized fit for the poms. ⁣
⁣
#PaolaJacket #FabricStorePaolaPattern",instagram.com/p/CKhYDLfBVbX,,4,1,54,
29,"I finished the #paolajacket from @fabricsstorecom for Hudson! 

I have a suspicion that the fabric is an upholstery fabric because it feels durable (peep at our cat trying to hold on for dear life with her claws) but I can't be sure since we got it from the discount/end of bolt section at the fabric store nearby. It didn't melt when I ironed it on high though so that's good! 🤷🏻‍♀️ 

This is a size 8, and I took off about 2 inches from the bottom since Hudson likes a more 4 look. I love the brass button snaps as it gives it a cleaner finish. Very easy to install and might use it for my own #paolaworkwearjacket 🙈

This was a slower make for me, doing only one section at time everyday. I think this was better for me instead of pushing through a project (and getting so frustrated!!!!! when something doesn't go right!!!!) so I can finish it and wear it asap. Being able to sew your own clothes is really just about paitence and as a beginner, I'm still learning that. After all, if I just wanted to wear something asap, I have fast fashion for that.

Some victories: Learned how to do a flat felled seam, learned how to do a collar, installed button snaps!

#sewing #memade #jacket #devonrex #memadewardrobe",instagram.com/p/CKZrRzrFwr-,,7,4,87,
30,"I see it, I like it, I want it, I make a jacket with it.

#quiltedjacket #memadewardrobe #sewist #sewistsofinstagram #quiltlove #sewing #paolajacket #handmadewardrobe",instagram.com/p/CKHmmGVDg7Y,,8,3,91,
31,"New make. Paola jacket #paolajacket @fabricsstorecom #freepattern in deep green corduroy (very difficult to photograph) with a secret pocket inside the left side. 💚💚 Finished during the lunch break wore in the afternoon and got compliments all ready! 
Nouvelle couture:veste Paola patron gratuit sur le site du magasin @fabricsstorecom en velours côtelé vert sapin (qui ne rend pas trop en photo mais très joli croyez moi sur parole). Terminée pendant la pause déjeuner et portée au boulot cet aprem. J'ai déjà eu des compliments !
Bon week-end à tous ! Je pense coudre pour oublier. L'idée que les cours de musique et de natation des enfants soient annulés après deux semaines d'activité ça me tue...
Have a nice weekend everybody!
#jeportecequejecouds #memadeeveryday #sewing #sewingismytherapy",instagram.com/p/CKEn2eoHpce,,6,1,83,
33,We love our take on this bomber jacket 👌,instagram.com/p/CJ5ziM9nLI_,,11,4,14,
35,Spent the last 3 days making this quilt coat and it has been a *journey* but I’m super happy and cozy now. Swipe to see all of the progress. It started when I upgraded my bedding and thought I might was well try to make something with the old quilt. Pattern is @fabricsstorecom #paolajacket (free pattern!) dyed the color Rusty with @ritdye. This outfit is def #listen2urlizard material. Apparently I only make orange clothes 🤷🏻‍♀️ #memade,instagram.com/p/CJpZ8UfJM8J,,3,5,97,
36,"I’m posting this not because it’s a particularly great outfit, but because I realized after I left the house that I was wearing 5 memade pieces. I love that when I just grab things to wear, they are now mostly things I have created with my own two hands!
From top to bottom:
#tiildahat by @isangknits 
#gettingwarmercowl by @espacetricot 
#paolajacket by @fabricsstorecom that I hacked to look like the @sezane #willjacket 
#winterfellaran by @ahribokatrinchen 
#morganjeans by @closetcorepatterns 

(Denim for jacket and jeans gifted by @minervadotcom )
#minervamakers #minervamaker #sezanelike #makeitsewcial #isew #ilovesewing 
#handmadewardrobe #memadeeveryday #isewmyownclothes #imakemyownclothes
#sewinglove #sewingaddict #sewingpattern #sewinglife  #sewinginspiration #sewersofinstagram #sewistsofinstagram #imakemyclothes
#sewcialists #adventuresinsewing 
#selfishsewing #ilovetosew
#memadeootd 
#handmadeclothing",instagram.com/p/CJk_Z6gFRuv,,29,3,355,
38,"Possibly the proudest thing I’ve made - Paola “chore jacket” for my mum’s Christmas 🎄 made from coral linen. It’s a fab free (!) pattern that gives you a lovely finish inside as well as out with facing and flat felled seams. A great project to end the year! 
-
-
-
#sewing #paolajacket #paolaworkwearjacket #paolachorejacket #mysewing #handmadechristmas",instagram.com/p/CJRRwNdDx2v,,6,2,64,
39,"My beautiful mom in her new #paolajacket. We picked out the quilt on eBay; it’s made from the silk linings from men’s suits, with lots of handwork. The seams are flat-felled, the interior is the original tied backing, and all in all it’s one of my favorite things I’ve ever made. Christmas, crushed. #quiltjacket  #quiltsofinstagram #isewmyownclothes",instagram.com/p/CJOT1j4FPst,,4,1,57,
40,"Finally got around to making the #PaolaWorkwearJacket a free pattern from @fabricsstorecom that so many people have made amazing versions of!

This version is my toile, using some pieces of canvas from my stash, I made a straight size 12/14. 

I have mixed feelings about the jacket, I love how it looks I’m just not sure it’s my style.

For version two I’ll definitely be making some adjustments, lengthening arms and torso because #SewingTall , and I think I may try to take the shoulders in a bit for a slightly less boxy fit. Taking any #sewingAdvice on fit adjustments.

#paolajacket",instagram.com/p/CInzS-6FY_Y,,4,1,45,
42,"finally put the buttons on my #paolaworkwearjacket after about a month of it hanging out on my wall, so she’s done now. 🌺🌸🌼
Goes with some Sugardale pants I made a while ago, forming a set that I will probably never actually wear, but I can hang it up on my wall or something. 💐 
i tried to clean my mirror to take pictures but just actually made it worse 🤷🏻‍♀️",instagram.com/p/CIZhC1MFGA4,,3,4,177,
43,"Terminado! Ya puede hacer frío (el poco que hace aquí). Lo he terminado con botones metálicos automáticos. Me ha encantado el patrón, y coser por fin con esa tela viejuna que tenía. Gracias, @fabricsstorecom 
.
Finished!! Let the cold came, (the little cold that here gets) I've used metallic snaps. I've loved the pattern, and finally using the vintage curtain fabric I was saving from so long. Thanks for the pattern, @fabricsstorecom

#paolajacket #handmadewardrobe #sewing #memadeeveryday #imakemyclothes #makersgonnamake #makersmovement #sewist #costurera #yocoso #slowfashion #isewlation #memadeeveryday",instagram.com/p/CIIsB-sJoi4,,13,5,23,
44,"Voy a coserme un abrigo ligerito con tela vaquera naranja y un trozo de cortina vintage que tengo desde hace la tira para el forro. El patrón es el Paola jacket, de Fabrics Store. (Es gratis!)
.
I'm making the Paola jacket, in a long lined version. I'm using roasted orange jean for the outside and a vintage curtain for the lining. I'm very inspired by the long version @minimalistmachinist made, and I've learned a lot thanks to her progress. She has a patreon, and a koffi account, go check her!!

#paolajacket #handmadewardrobe #sewing #memadeeveryday #imakemyclothes #makersgonnamake #makersmovement #sewist #costurera #yocoso #slowfashion #isewlation #memadeeveryday",instagram.com/p/CIAxPeqpjAh,,13,5,16,
45,"Quilted jackets are having a moment right now! I happened upon this pre-quilted and lined bargain bin fabric and felt like I struck gold! All the work is done, so I can just sew up a coat real quick once, right? (Had to let my Wisconsin phrasing out for that one.) Ha. Famous last words of every sewist!
•
I used the free @fabricsstorecom #paolaworkwearjacket pattern. The process of downloading their free patterns is a little bit odd, but so worth it! This one sewed up exactly as expected. I wanted a simple slightly oversized silhouette, and it delivered. My measurements are B:42” W:38” H:42” and I made a straight size 16/18. I left off the collar and facings as well as the top pockets.
•
Here’s where my famous last words come in. I originally lengthened this by about 6-8” based on a ready to wear coat I’d seen. I was so excited for this project and then it ended up looking very odd at that length. I think the contrast binding had something to do with it, but I was determined to make my life easier by using pre-made bias tape, so matching wasn’t an option. I was no longer excited about this jacket. I made a collar and added that thinking it might help. Nope. Now I was downright mad at this jacket. Anyone else build a project up in their head and then struggle with how you feel about it when it doesn’t work quite right for some reason?
• 
Ultimately, I decided shorter would be better and commenced with unpicking lots of bias binding. On the shorter version, I did like collarless better, so the collar got unpicked also. It was a little bit of a frustrating journey, and not nearly as quick and easy as I planned, but we got there in the end! I love this jacket and have already worn it so much! I caught some frosty early morning light for photos and my new quilted jacket kept me warm while I did it!
•
#sew #sewing #sewitbetter #wisconsinsews #quiltedjacket #paolajacket #paolaworkwearjacket #imakemyownclothes #sewistsofinstagram #millenialsewing #midsizestyle #midsizefashion",instagram.com/p/CH_Pz-GFVwF,,12,2,30,
46,"Took my #memades on a trip to old Jaffa city today.
The jacket is #paolaworkwearjacket by @fabricsstorecom
T-shirt is a #ddplantain by @deer_and_doe_patterns
Pants are my beloved #palisadepants by @papercutpatterns
All details in previous posts.",instagram.com/p/CHn63pblvv-,,4,2,51,
